"departamento_id","departamento_nombre","provincia_id","provincia_nombre","año","semanas_epidemiologicas","evento_nombre","grupo_edad_id","grupo_edad_desc","cantidad_casos"
760,"SAN MIGUEL",06,"Buenos Aires",2018,18,"Bronquiolitis en menores de 2 años",02,"6 a 11 m",2
760,"SAN MIGUEL",06,"Buenos Aires",2018,18,"Bronquiolitis en menores de 2 años",3,"12 a 23 m",3
14,"CAPITAL",14,"Córdoba",2018,21,"Enfermedad tipo influenza (ETI)",4,"2 a 4",1
427,"LA MATANZA",06,"Buenos Aires",2018,19,"Neumonía",5,"5 a 9",2
427,"LA MATANZA",06,"Buenos Aires",2018,19,"Bronquiolitis en menores de 2 años",02,"6 a 11 m",2
427,"LA MATANZA",06,"Buenos Aires",2018,19,"Bronquiolitis en menores de 2 años",3,"12 a 23 m",1
182,"UNIÓN",14,"Córdoba",2018,19,"Neumonía",7,"15 a 19",1
28,"CHACABUCO",74,"San Luis",2018,20,"Enfermedad tipo influenza (ETI)",06,"10 a 14",1
28,"CHACABUCO",74,"San Luis",2018,20,"Enfermedad tipo influenza (ETI)",7,"15 a 19",2
28,"CHACABUCO",74,"San Luis",2018,20,"Enfermedad tipo influenza (ETI)",11,"45 a 64",1
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Enfermedad tipo influenza (ETI)",7,"15 a 19",2
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Enfermedad tipo influenza (ETI)",8,"20 a 24",1
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Enfermedad tipo influenza (ETI)",9,"25 a 34",2
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Enfermedad tipo influenza (ETI)",11,"45 a 64",3
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Neumonía",5,"5 a 9",1
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Neumonía",11,"45 a 64",1
63,"PICHI MAHUIDA",62,"Río Negro",2018,24,"Neumonía",17,"Edad Sin Esp.",1
98,"SAN MARTÍN",50,"Mendoza",2018,19,"Enfermedad tipo influenza (ETI)",8,"20 a 24",1
560,"MORENO",06,"Buenos Aires",2018,22,"Enfermedad tipo influenza (ETI)",4,"2 a 4",1
560,"MORENO",06,"Buenos Aires",2018,22,"Enfermedad tipo influenza (ETI)",5,"5 a 9",2
560,"MORENO",06,"Buenos Aires",2018,22,"Enfermedad tipo influenza (ETI)",06,"10 a 14",2
560,"MORENO",06,"Buenos Aires",2018,22,"Enfermedad tipo influenza (ETI)",7,"15 a 19",2
560,"MORENO",06,"Buenos Aires",2018,22,"Enfermedad tipo influenza (ETI)",8,"20 a 24",1
